timestamp,level,service,message,user_id,ip_address
2026-01-22T10:01:12Z,INFO,auth-service,User login successful,u1001,192.168.1.10
2026-01-22T10:02:45Z,ERROR,auth-service,Invalid password attempt,u1002,192.168.1.11
2026-01-22T10:04:30Z,WARNING,rate-limit-service,Too many login requests,u1002,192.168.1.11
2026-01-22T10:06:05Z,INFO,file-service,File upload started,u1003,192.168.1.12
2026-01-22T10:06:55Z,ERROR,file-service,File checksum mismatch,u1003,192.168.1.12
2026-01-22T10:08:10Z,INFO,search-service,Search query executed,u1004,192.168.1.13
2026-01-22T10:09:40Z,WARNING,search-service,Slow search query detected,u1004,192.168.1.13
2026-01-22T10:11:15Z,INFO,notification-service,Email notification sent,u1005,192.168.1.14
2026-01-22T10:12:55Z,ERROR,notification-service,SMTP server timeout,system,127.0.0.1

