timestamp,level,service,message,user_id,ip_address
2026-01-23T08:10:12Z,INFO,auth-service,User logged out successfully,u321,10.0.0.12
2026-01-23T08:11:45Z,ERROR,auth-service,JWT token expired,u654,10.0.0.45
2026-01-23T08:13:02Z,INFO,user-service,User profile updated,u654,10.0.0.45
2026-01-23T08:14:36Z,WARNING,user-service,Incomplete profile information,u789,10.0.0.78
2026-01-23T08:15:20Z,INFO,file-service,File delete request received,u321,10.0.0.12
2026-01-23T08:16:01Z,ERROR,file-service,Permission denied while deleting file,u321,10.0.0.12
2026-01-23T08:17:49Z,INFO,audit-service,User access rights modified,admin,127.0.0.1
2026-01-23T08:18:30Z,INFO,notification-service,Slack alert sent for ERROR log,system,127.0.0.1
2026-01-23T08:19:55Z,WARNING,infra-service,Disk usage above 80 percent,system,127.0.0.1
2026-01-23T08:21:10Z,INFO,infra-service,Auto-scaling triggered,system,127.0.0.1
2026-01-23T08:22:42Z,ERROR,db-service,Deadlock detected during transaction,system,127.0.0.1
2026-01-23T08:24:00Z,INFO,db-service,Transaction retried successfully,system,127.0.0.1

